Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
1986-03-13 00:00:00-05:00,0.05459447707,0.06262314906,0.05459447707,0.05994651467,1031788800,0,0,MSFT
1986-03-14 00:00:00-05:00,0.05994649071,0.06315832758,0.05994649071,0.06208730489,308160000,0,0,MSFT
1986-03-17 00:00:00-05:00,0.06208733249,0.06369355944,0.06208733249,0.06315835565,133171200,0,0,MSFT
1986-03-18 00:00:00-05:00,0.0631583299,0.06369353347,0.06101690004,0.06155210361,67766400,0,0,MSFT
1986-03-19 00:00:00-05:00,0.06155209688,0.06208730039,0.05994648636,0.06048168987,47894400,0,0,MSFT
1986-03-20 00:00:00-05:00,0.06048167377,0.06048167377,0.05834086031,0.05887606367,58435200,0,0,MSFT
1986-03-21 00:00:00-05:00,0.05887606627,0.05994647305,0.05620004933,0.05727045611,59990400,0,0,MSFT
1986-03-24 00:00:00-05:00,0.05727046261,0.05727046261,0.05512964881,0.05566485226,65289600,0,0,MSFT
1986-03-25 00:00:00-05:00,0.05566484801,0.05673525482,0.0551296446,0.05673525482,32083200,0,0,MSFT
1986-03-26 00:00:00-05:00,0.05673527398,0.05887608833,0.05620007039,0.05834088475,22752000,0,0,MSFT
1986-03-27 00:00:00-05:00,0.05834090948,0.05941131711,0.05834090948,0.05941131711,16848000,0,0,MSFT
1986-03-31 00:00:00-05:00,0.05941126704,0.05941126704,0.05780565695,0.05887606367,12873600,0,0,MSFT
1986-04-01 00:00:00-05:00,0.05887608833,0.05887608833,0.05834088475,0.05834088475,11088000,0,0,MSFT
1986-04-02 00:00:00-05:00,0.05834086031,0.0599464704,0.05834086031,0.05887606367,27014400,0,0,MSFT
1986-04-03 00:00:00-05:00,0.05941131711,0.06101692856,0.05941131711,0.05941131711,23040000,0,0,MSFT
1986-04-04 00:00:00-05:00,0.05941131711,0.05994652093,0.05941131711,0.05941131711,26582400,0,0,MSFT
1986-04-07 00:00:00-05:00,0.05941129192,0.05994649551,0.05727047757,0.05834088475,16560000,0,0,MSFT
1986-04-08 00:00:00-05:00,0.05834086031,0.0599464704,0.05834086031,0.05887606367,10252800,0,0,MSFT
1986-04-09 00:00:00-05:00,0.05887610715,0.06048171843,0.05887610715,0.05994651467,12153600,0,0,MSFT
1986-04-10 00:00:00-05:00,0.05994648636,0.06101689338,0.05887607935,0.06048168987,13881600,0,0,MSFT
1986-04-11 00:00:00-05:00,0.06101690004,0.06262312633,0.06101690004,0.06155210361,17222400,0,0,MSFT
1986-04-14 00:00:00-05:00,0.06155210134,0.06262312403,0.06155210134,0.06208730489,12153600,0,0,MSFT
1986-04-15 00:00:00-05:00,0.06208730489,0.06208730489,0.05994649071,0.06208730489,9302400,0,0,MSFT
1986-04-16 00:00:00-05:00,0.06208729164,0.06476392439,0.06155208821,0.06422872096,31910400,0,0,MSFT
1986-04-17 00:00:00-05:00,0.06422875208,0.06476395577,0.06422875208,0.06476395577,22003200,0,0,MSFT
1986-04-18 00:00:00-05:00,0.06476393492,0.06476393492,0.06208730173,0.06262312084,21628800,0,0,MSFT
1986-04-21 00:00:00-05:00,0.06262312084,0.06315832436,0.06101689469,0.06262312084,22924800,0,0,MSFT
1986-04-22 00:00:00-05:00,0.06262312633,0.06262312633,0.06155210361,0.06155210361,15552000,0,0,MSFT
1986-04-23 00:00:00-05:00,0.06155209178,0.06208729524,0.06101688831,0.06181969121,15609600,0,0,MSFT
1986-04-24 00:00:00-05:00,0.06181969766,0.06904556305,0.06155209819,0.06797515601,62352000,0,0,MSFT
1986-04-25 00:00:00-05:00,0.06851035228,0.07520101345,0.06851035228,0.07225739211,85795200,0,0,MSFT
1986-04-28 00:00:00-04:00,0.07225739364,0.07332780059,0.07172157457,0.07279259712,28886400,0,0,MSFT
1986-04-29 00:00:00-04:00,0.07279261094,0.07279261094,0.07011597747,0.07065118104,30326400,0,0,MSFT
1986-04-30 00:00:00-04:00,0.07065118427,0.07118638787,0.06743996267,0.06904557347,30902400,0,0,MSFT
1986-05-01 00:00:00-04:00,0.06904556305,0.06904556305,0.06690474897,0.06797515601,54345600,0,0,MSFT
1986-05-02 00:00:00-04:00,0.06797515601,0.06904556305,0.06743995249,0.06797515601,20246400,0,0,MSFT
1986-05-05 00:00:00-04:00,0.06797516953,0.06797516953,0.0674399659,0.0674399659,3254400,0,0,MSFT
1986-05-06 00:00:00-04:00,0.06797515601,0.06904556305,0.06797515601,0.06797515601,9734400,0,0,MSFT
1986-05-07 00:00:00-04:00,0.06797515601,0.06851035953,0.06690474897,0.06797515601,5155200,0,0,MSFT
1986-05-08 00:00:00-04:00,0.06797516488,0.06851036847,0.06743996129,0.06851036847,3542400,0,0,MSFT
1986-05-09 00:00:00-04:00,0.06851035953,0.06851035953,0.06797515601,0.06797515601,6076800,0,0,MSFT
1986-05-12 00:00:00-04:00,0.06797516488,0.07011597923,0.06797516488,0.06851036847,10483200,0,0,MSFT
1986-05-13 00:00:00-04:00,0.06851036987,0.06958077707,0.06851036987,0.06904557347,3830400,0,0,MSFT
1986-05-14 00:00:00-04:00,0.06904557205,0.06904557205,0.06851036847,0.06851036847,9302400,0,0,MSFT
1986-05-15 00:00:00-04:00,0.06851036847,0.06958077564,0.06851036847,0.06851036847,3801600,0,0,MSFT
1986-05-16 00:00:00-04:00,0.06851036987,0.07065118427,0.06851036987,0.06904557347,11952000,0,0,MSFT
1986-05-19 00:00:00-04:00,0.06904556305,0.06904556305,0.06743995249,0.06797515601,11001600,0,0,MSFT
1986-05-20 00:00:00-04:00,0.06797516953,0.06797516953,0.06690476228,0.0674399659,61977600,0,0,MSFT
1986-05-21 00:00:00-04:00,0.06743997067,0.06797517433,0.06636956334,0.06636956334,8092800,0,0,MSFT
1986-05-22 00:00:00-04:00,0.06636956334,0.066904767,0.06636956334,0.06636956334,4406400,0,0,MSFT
1986-05-23 00:00:00-04:00,0.06636956334,0.06743997067,0.06636956334,0.06636956334,4089600,0,0,MSFT
1986-05-27 00:00:00-04:00,0.06636955411,0.06851036847,0.06636955411,0.06851036847,13881600,0,0,MSFT
1986-05-28 00:00:00-04:00,0.06851036674,0.07065118104,0.06851036674,0.07065118104,15523200,0,0,MSFT
