Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
1962-01-02 00:00:00-05:00,0.6247615855,0.6351741991,0.6185139538,0.6226789355,432682,0,0,GE
1962-01-03 00:00:00-05:00,0.6195551513,0.6195551513,0.6143487456,0.6164312363,296467,0,0,GE
1962-01-04 00:00:00-05:00,0.6164318829,0.6216382542,0.6039367667,0.6091430187,368581,0,0,GE
1962-01-05 00:00:00-05:00,0.6091422182,0.6101836025,0.5831106345,0.5935232043,546862,0,0,GE
1962-01-08 00:00:00-05:00,0.5935235542,0.5935235542,0.5747806946,0.5924823284,620978,0,0,GE
1962-01-09 00:00:00-05:00,0.5924820749,0.6008121957,0.5883169349,0.5956057906,466735,0,0,GE
1962-01-10 00:00:00-05:00,0.5956059334,0.6018535654,0.5935234425,0.5987298489,392619,0,0,GE
1962-01-11 00:00:00-05:00,0.5987295593,0.5997707844,0.5883167914,0.5997707844,326514,0,0,GE
1962-01-12 00:00:00-05:00,0.5997711593,0.6008124248,0.5893585838,0.5914410353,338533,0,0,GE
1962-01-15 00:00:00-05:00,0.5924824848,0.5997713456,0.5924824848,0.5976888537,424669,0,0,GE
1962-01-16 00:00:00-05:00,0.5976885953,0.6049774927,0.5935234542,0.6028948426,278439,0,0,GE
1962-01-17 00:00:00-05:00,0.6018538172,0.6018538172,0.5851936043,0.589358747,428675,0,0,GE
1962-01-18 00:00:00-05:00,0.5893583591,0.5956057906,0.5883169349,0.5956057906,296467,0,0,GE
1962-01-19 00:00:00-05:00,0.595606028,0.6008124352,0.595606028,0.6008124352,266420,0,0,GE
1962-01-22 00:00:00-05:00,0.6018535772,0.6101838594,0.6018535772,0.6028948426,284448,0,0,GE
1962-01-23 00:00:00-05:00,0.6008124248,0.6008124248,0.5893585838,0.5914410353,456720,0,0,GE
1962-01-24 00:00:00-05:00,0.5914409632,0.6049774927,0.589358512,0.6028948426,320505,0,0,GE
1962-01-25 00:00:00-05:00,0.6028949151,0.6070600566,0.5924822998,0.5966474414,318502,0,0,GE
